x                       y                        z                        a                        b                        c                        degX                     degY                     degZ                     mf.Bx (T)                mf.By (T)                mf.Bz (T)
-90                       -90                      0                        -70                      -70                      60                       0                        -90                      0                        -1.6392510740146878E-4   5.0624516973460766E-5    1.8295927729560237E-4
90                        90                       0                        -70                      -70                      60                       0                        90                       0                        -2.6978617807595377E-6   -9.450984396838259E-6    3.8708635038719915E-6
30                        90                       0                        -70                      -70                      60                       0                        90                       0                        2.828686523363529E-6     -1.3212780931983838E-5   5.492229212633551E-6
-30                       90                       0                        -70                      -70                      60                       0                        90                       0                        1.349089422333509E-5     -9.370501947375124E-6    3.785930222913282E-6
-90                       90                       0                        -70                      -70                      60                       0                        90                       0                        1.6294960442142406E-5    5.925493966446057E-6     -1.750314949410805E-6
90                        30                       0                        -70                      -70                      60                       0                        90                       0                        -1.0746237391439695E-5   -1.350305414575437E-5    7.899069857484104E-6
30                        30                       0                        -70                      -70                      60                       0                        90                       0                        -4.183660090420892E-6    -2.7921644671086797E-5   1.8883432486842124E-5
-30                       30                       0                        -70                      -70                      60                       0                        90                       0                        3.333395630115945E-5     -3.476212106924586E-5    2.288719535154584E-5
-90                       30                       0                        -70                      -70                      60                       0                        90                       0                        4.967880356578525E-5     1.1096953607445548E-5    -1.4065496116524336E-6
90                        -30                      0                        -70                      -70                      60                       0                        90                       0                        -2.2698005028270313E-5   -9.51842170793284E-6     1.57045946254659E-5
30                        -30                      0                        -70                      -70                      60                       0                        90                       0                        -4.3144777521627586E-5   -3.3985699493206393E-5   5.781554780880201E-5
-30                       -30                      0                        -70                      -70                      60                       0                        90                       0                        5.3344197428224156E-5    -8.066801121105682E-5    1.56221857005858E-4
-90                       -30                      0                        -70                      -70                      60                       0                        90                       0                        1.416355372469169E-4     8.705204355935312E-5     -1.3077161350328603E-4
90                        -90                      0                        -70                      -70                      60                       0                        90                       0                        -2.70913902316705E-5     5.881808967421945E-6     1.7922177785617444E-5
30                        -90                      0                        -70                      -70                      60                       0                        90                       0                        -5.093944605286477E-5    1.9614962675539564E-5    6.692246488589975E-5
-30                       -90                      0                        -70                      -70                      60                       0                        90                       0                        4.151408950846665E-5     6.578133150435153E-5     2.1876816857149356E-4
-90                       -90                      0                        -70                      -70                      60                       0                        90                       0                        1.6396611469232192E-4    -5.053181938307042E-5    -1.829501853753062E-4
90                        90                       0                        -70                      -70                      70                       0                        -90                      0                        2.2743086672662163E-6    8.798165939825751E-6     -4.071543421653035E-6
30                        90                       0                        -70                      -70                      70                       0                        -90                      0                        -2.6892302165351266E-6   1.1977689052091383E-5    -5.867277643696784E-6
-30                       90                       0                        -70                      -70                      70                       0                        -90                      0                        -1.2467877780554176E-5   8.989646565612605E-6     -4.4104822489296665E-6
-90                       90                       0                        -70                      -70                      70                       0                        -90                      0                        -1.4378885660978479E-5   -4.581785652008273E-6    2.267734391388076E-6
90                        30                       0                        -70                      -70                      70                       0                        -90                      0                        9.302899467135464E-6     1.186526722496023E-5     -8.744943320821629E-6
30                        30                       0                        -70                      -70                      70                       0                        -90                      0                        4.8438074718134335E-6    2.4155006642819394E-5    -1.8414714814775873E-5
-30                       30                       0                        -70                      -70                      70                       0                        -90                      0                        -2.561149443994898E-5    2.7644817614965405E-5    -1.906848181796385E-5
-90                       30                       0                        -70                      -70                      70                       0                        -90                      0                        -3.7212460680657706E-5   -1.2568538939469155E-5   8.75899258208281E-6
90                        -30                      0                        -70                      -70                      70                       0                        -90                      0                        1.97760971160996E-5      9.120991400260166E-6     -1.6258589528968363E-5
30                        -30                      0                        -70                      -70                      70                       0                        -90                      0                        3.084337409036275E-5     2.6658585865457562E-5    -5.205249143642008E-5
-30                       -30                      0                        -70                      -70                      70                       0                        -90                      0                        -4.465386514639892E-5    5.4004224586169465E-5    -1.0322646261844781E-4
-90                       -30                      0                        -70                      -70                      70                       0                        -90                      0                        -1.118995235596474E-4    -3.7205723825959464E-5   7.455030261613814E-5
90                        -90                      0                        -70                      -70                      70                       0                        -90                      0                        2.184095794407102E-5     -4.537877242054267E-6    -1.7776426527226177E-5
30                        -90                      0                        -70                      -70                      70                       0                        -90                      0                        4.02694111180434E-5      -1.8965981416377215E-5   -5.6436165271943334E-5
-30                       -90                      0                        -70                      -70                      70                       0                        -90                      0                        -4.858867866144932E-5    -4.6312218118674665E-5   -1.7335257942644637E-4
-90                       -90                      0                        -70                      -70                      70                       0                        -90                      0                        -1.4288861121890652E-4   2.838541278387313E-5     1.0324026931748835E-4
90                        90                       0                        -70                      -70                      70                       0                        90                       0                        -2.2649039805308014E-6   -8.779621112281251E-6    4.059746910961031E-6
30                        90                       0                        -70                      -70                      70                       0                        90                       0                        2.6917513972276198E-6    -1.194293910968005E-5    5.847257881231218E-6
-30                       90                       0                        -70                      -70                      70                       0                        90                       0                        1.2443963951699755E-5    -8.945047838754266E-6    4.389117667731666E-6
-90                       90                       0                        -70                      -70                      70                       0                        90                       0                        1.4335403109464677E-5    4.599491472015972E-6     -2.269380765071883E-6
90                        30                       0                        -70                      -70                      70                       0                        90                       0                        -9.272366472143083E-6    -1.18470332418495E-5     8.722082398041734E-6
30                        30                       0                        -70                      -70                      70                       0                        90                       0                        -4.8065932802921265E-6   -2.4097614226726816E-5   1.8357066504763126E-5
-30                       30                       0                        -70                      -70                      70                       0                        90                       0                        2.5588540059759933E-5    -2.7539794685302347E-5   1.898241860449993E-5
-90                       30                       0                        -70                      -70                      70                       0                        90                       0                        3.7070909019520304E-5    1.2679674867470042E-5    -8.728049127205154E-6
90                        -30                      0                        -70                      -70                      70                       0                        90                       0                        -1.9713097314933942E-5   -9.131067267944607E-6    1.6228885737958867E-5
30                        -30                      0                        -70                      -70                      70                       0                        90                       0                        -3.0808203711235496E-5   -2.6628288162472738E-5   5.1930822226391735E-5
-30                       -30                      0                        -70                      -70                      70                       0                        90                       0                        4.452938009830841E-5     -5.376085574094569E-5    1.0213829858674892E-4
-90                       -30                      0                        -70                      -70                      70                       0                        90                       0                        1.1271242861451067E-4    3.67989548928319E-5      -7.653044220294673E-5
90                        -90                      0                        -70                      -70                      70                       0                        90                       0                        -2.1756062820616947E-5   4.595861139309094E-6     1.7749221428685604E-5
30                        -90                      0                        -70                      -70                      70                       0                        90                       0                        -4.018614514853582E-5    1.8879063263573914E-5    5.641196142312229E-5
-30                       -90                      0                        -70                      -70                      70                       0                        90                       0                        5.171070119913625E-5     4.552695326142563E-5     1.7493500459953167E-4
-90                       -90                      0                        -70                      -70                      70                       0                        90                       0                        1.4558553188491116E-4    -3.075263051366566E-5    -1.0160101055817336E-4
90                        90                       0                        -70                      -70                      80                       0                        -90                      0                        2.0206457988694404E-6    8.375692968928608E-6     -4.424261602346673E-6
30                        90                       0                        -70                      -70                      80                       0                        -90                      0                        -2.793941139605957E-6    1.0887069025122673E-5    -5.7534598757914975E-6
-30                       90                       0                        -70                      -70                      80                       0                        -90                      0                        -1.1740840979772738E-5   7.413088235791203E-6     -3.909014273592717E-6
-90                       90                       0                        -70                      -70                      80                       0                        -90                      0                        -1.3776103461538854E-5   -4.264974435732328E-6    2.2943828154110054E-6
90                        30                       0                        -70                      -70                      80                       0                        -90                      0                        7.554173465808997E-6     1.0981348310076347E-5    -9.053949517082781E-6
30                        30                       0                        -70                      -70                      80                       0                        -90                      0                        2.139898505710739E-6     2.0794443057393322E-5    -1.7669345364193485E-5
-30                       30                       0                        -70                      -70                      80                       0                        -90                      0                        -2.4453572320930032E-5   2.0629136232036755E-5    -1.752124976912507E-5
-90                       30                       0                        -70                      -70                      80                       0                        -90                      0                        -3.4401995967587264E-5   -1.3059670846864277E-5   1.1347581014698279E-5
90                        -30                      0                        -70                      -70                      80                       0                        -90                      0                        1.6917523308386832E-5    7.691823502575367E-6     -1.606702139265518E-5
30                        -30                      0                        -70                      -70                      80                       0                        -90                      0                        2.0414231283939874E-5    2.169156766048373E-5     -4.742426333077305E-5
-30                       -30                      0                        -70                      -70                      80                       0                        -90                      0                        -4.537533809303403E-5    3.117240128471385E-5     -8.043036832201251E-5
-90                       -30                      0                        -70                      -70                      80                       0                        -90                      0                        -8.734000884327877E-5    -2.5413096274876996E-5   4.605464890056893E-5
90                        -90                      0                        -70                      -70                      80                       0                        -90                      0                        1.9603338002139768E-5    -4.014887571179164E-6    -1.7367930609985582E-5
30                        -90                      0                        -70                      -70                      80                       0                        -90                      0                        2.7056705295741284E-5    -1.3130570042549859E-5   -5.617351230067166E-5
-30                       -90                      0                        -70                      -70                      80                       0                        -90                      0                        -6.19293082969855E-5     -2.1949245985540804E-5   -1.1334858716371821E-4
-90                       -90                      0                        -70                      -70                      80                       0                        -90                      0                        -9.663882941819143E-5    1.4901661133475764E-5    7.725204061803084E-5
90                        90                       0                        -70                      -70                      80                       0                        90                       0                        -2.02136994794948E-6     -8.378037440385756E-6    4.425094688136549E-6
30                        90                       0                        -70                      -70                      80                       0                        90                       0                        2.7940513345573197E-6    -1.0892030063348109E-5   5.754689080991228E-6
-30                       90                       0                        -70                      -70                      80                       0                        90                       0                        1.1744228141117707E-5    -7.419468232029265E-6    3.91029601499551E-6
-90                       90                       0                        -70                      -70                      80                       0                        90                       0                        1.3782808989231898E-5    4.2609591711325985E-6    -2.2947968948319714E-6
90                        30                       0                        -70                      -70                      80                       0                        90                       0                        -7.558130333550099E-6    -1.0985287121764065E-5   9.056546220964106E-6
30                        30                       0                        -70                      -70                      80                       0                        90                       0                        -2.1446317621188273E-6   -2.080577344798658E-5    1.7675646929807314E-5
-30                       30                       0                        -70                      -70                      80                       0                        90                       0                        2.4457023625762967E-5    -2.0648040761444712E-5   1.7530917008185183E-5
-90                       30                       0                        -70                      -70                      80                       0                        90                       0                        3.442252715771282E-5     1.3044890544631018E-5    -1.1344132570031848E-5
90                        -30                      0                        -70                      -70                      80                       0                        90                       0                        -1.692736638485139E-5    -7.694602555133533E-6    1.6071914076323492E-5
30                        -30                      0                        -70                      -70                      80                       0                        90                       0                        -2.0437016550376867E-5   -2.1705884251437056E-5   4.744781459864941E-5
-30                       -30                      0                        -70                      -70                      80                       0                        90                       0                        4.536988674198604E-5     -3.113418215696961E-5    8.054448254775956E-5
-90                       -30                      0                        -70                      -70                      80                       0                        90                       0                        8.740916829248606E-5     2.5307077913932E-5       -4.591508806321676E-5
90                        -90                      0                        -70                      -70                      80                       0                        90                       0                        -1.9615872300693572E-5   4.017789734429679E-6     1.7373147397143574E-5
30                        -90                      0                        -70                      -70                      80                       0                        90                       0                        -2.7085744206223355E-5   1.3141642844205048E-5    5.6202553675323405E-5
-30                       -90                      0                        -70                      -70                      80                       0                        90                       0                        6.18786345752088E-5      2.196002573776816E-5     1.1349972658490968E-4
-90                       -90                      0                        -70                      -70                      80                       0                        90                       0                        9.692391568370367E-5     -1.4901796240350995E-5   -7.730534709017806E-5
90                        90                       0                        -70                      -70                      90                       0                        -90                      0                        1.654481934848821E-6     7.449417808701105E-6     -4.417753148675216E-6
30                        90                       0                        -70                      -70                      90                       0                        -90                      0                        -2.4041114012360136E-6   9.909624139877625E-6     -5.84899184614526E-6
-30                       90                       0                        -70                      -70                      90                       0                        -90                      0                        -1.1116764230497916E-5   6.502228520622565E-6     -3.7949382979311037E-6
-90                       90                       0                        -70                      -70                      90                       0                        -90                      0                        -1.2074470690850601E-5   -3.564326562894871E-6    1.924340200387667E-6
90                        30                       0                        -70                      -70                      90                       0                        -90                      0                        6.801333060780735E-6     1.0185744936153302E-5    -9.211750396439556E-6
30                        30                       0                        -70                      -70                      90                       0                        -90                      0                        4.2087672474746033E-7    1.799782827201279E-5     -1.7200543415993097E-5
-30                       30                       0                        -70                      -70                      90                       0                        -90                      0                        -2.074628609638105E-5    1.6504360954967145E-5    -1.5496324802161406E-5
-90                       30                       0                        -70                      -70                      90                       0                        -90                      0                        -3.100675436496853E-5    -8.829463981090439E-6    9.513650601918289E-6
90                        -30                      0                        -70                      -70                      90                       0                        -90                      0                        1.4290611884614171E-5    6.7143924896158E-6       -1.5938236611492114E-5
30                        -30                      0                        -70                      -70                      90                       0                        -90                      0                        1.4136292573508269E-5    1.5936858454894035E-5    -4.006706508381821E-5
-30                       -30                      0                        -70                      -70                      90                       0                        -90                      0                        -4.2407563425880443E-5   2.4523155784137145E-5    -5.952288619006017E-5
-90                       -30                      0                        -70                      -70                      90                       0                        -90                      0                        -6.800685342901994E-5    -1.0256269288443207E-5   4.689487993001136E-5
90                        -90                      0                        -70                      -70                      90                       0                        -90                      0                        1.5823358478884354E-5    -3.7042182428547375E-6   -1.72469792494276E-5
30                        -90                      0                        -70                      -70                      90                       0                        -90                      0                        1.851983240777396E-5     -9.427202418633943E-6    -4.820115734812198E-5
-30                       -90                      0                        -70                      -70                      90                       0                        -90                      0                        -4.7847381610307865E-5   -1.6270772585911023E-5   -8.070778320740844E-5
-90                       -90                      0                        -70                      -70                      90                       0                        -90                      0                        -7.620610913671301E-5    3.5182045483839706E-6    4.3942044064035346E-5
90                        90                       0                        -70                      -70                      90                       0                        90                       0                        -1.6623848952440119E-6   -7.448834029737735E-6    4.417280497227999E-6
30                        90                       0                        -70                      -70                      90                       0                        90                       0                        2.3915426532262496E-6    -9.913630374465224E-6    5.851316333191304E-6
-30                       90                       0                        -70                      -70                      90                       0                        90                       0                        1.110408218087889E-5     -6.514113797190323E-6    3.8044055971466818E-6
-90                       90                       0                        -70                      -70                      90                       0                        90                       0                        1.2069411067186823E-5    3.5483043073799002E-6    -1.910435098425293E-6
90                        30                       0                        -70                      -70                      90                       0                        90                       0                        -6.811291010238566E-6    -1.01810315081751E-5     9.209441180921507E-6
30                        30                       0                        -70                      -70                      90                       0                        90                       0                        -4.4242627855807276E-7   -1.7998377848300655E-5   1.7205344289723923E-5
