x                       y                        z                        a                        b                        c                        degX                     degY                     degZ                     mf.Bx (T)                mf.By (T)                mf.Bz (T)
-90                       30                       0                        -60                      10                       90                       0                        90                       0                        5.995009047710326E-5     1.6978681689355096E-5    -6.837450557678731E-5
90                        -30                      0                        -60                      10                       90                       0                        90                       0                        -1.4672222090854724E-5   7.418766137647324E-6     1.841593434791134E-5
30                        -30                      0                        -60                      10                       90                       0                        90                       0                        -1.0659437350099693E-5   2.0564048515598618E-5    4.849744003151659E-5
-30                       -30                      0                        -60                      10                       90                       0                        90                       0                        5.477158813314991E-5     2.414799718572888E-5     5.614211437344742E-5
-90                       -30                      0                        -60                      10                       90                       0                        90                       0                        5.791403394655027E-5     -1.9127004654437075E-5   -5.746184054850554E-5
90                        -90                      0                        -60                      10                       90                       0                        90                       0                        -6.576832763907326E-6    1.1195427996021596E-5    1.0549667917337161E-5
30                        -90                      0                        -60                      10                       90                       0                        90                       0                        1.3972491355550514E-6    1.9926841915614084E-5    1.9022708249118497E-5
-30                       -90                      0                        -60                      10                       90                       0                        90                       0                        2.6775243007725935E-5    1.5853031239576354E-5    1.3135758607322199E-5
-90                       -90                      0                        -60                      10                       90                       0                        90                       0                        2.7039128838485202E-5    -1.4325770193782853E-5   -1.3828861717540413E-5
90                        90                       0                        -60                      10                       100                      0                        -90                      0                        7.593221862854081E-6     9.841713317418672E-6     -1.298548862584304E-5
30                        90                       0                        -60                      10                       100                      0                        -90                      0                        -5.312383714010807E-7    1.7322760948711277E-5    -2.220100713763105E-5
-30                       90                       0                        -60                      10                       100                      0                        -90                      0                        -2.973649159489553E-5    1.4184908054878183E-5    -1.794375544362303E-5
-90                       90                       0                        -60                      10                       100                      0                        -90                      0                        -3.0244957168314176E-5   -1.4595029175964221E-5   1.993844874378784E-5
90                        30                       0                        -60                      10                       100                      0                        -90                      0                        1.4378248440559687E-5    2.8470483397545303E-6    -1.974716872345721E-5
30                        30                       0                        -60                      10                       100                      0                        -90                      0                        7.387599312442259E-6     1.0253383520149935E-5    -4.6225757720469484E-5
-30                       30                       0                        -60                      10                       100                      0                        -90                      0                        -4.835138699092533E-5    1.3291443716598693E-5    -5.279919645381897E-5
-90                       30                       0                        -60                      10                       100                      0                        -90                      0                        -3.478799450601033E-5    -9.949692810355725E-6    5.1101564677340434E-5
90                        -30                      0                        -60                      10                       100                      0                        -90                      0                        1.2059878965534445E-5    -6.755044985307402E-6    -1.8062258694273377E-5
30                        -30                      0                        -60                      10                       100                      0                        -90                      0                        6.1274468588167044E-6    -1.4651497834768329E-5   -4.3246511349676455E-5
-30                       -30                      0                        -60                      10                       100                      0                        -90                      0                        -4.616732571851181E-5    -1.1998627981872547E-5   -3.817127718244327E-5
-90                       -30                      0                        -60                      10                       100                      0                        -90                      0                        -4.471952843112787E-5    1.9189109803423978E-5    3.7400024018591696E-5
90                        -90                      0                        -60                      10                       100                      0                        -90                      0                        5.371452240405868E-6     -1.052591989469986E-5    -1.0325346447377183E-5
30                        -90                      0                        -60                      10                       100                      0                        -90                      0                        -2.0148318436787726E-6   -1.600347033200869E-5    -1.7123298282875357E-5
-30                       -90                      0                        -60                      10                       100                      0                        -90                      0                        -2.5072561684457883E-5   -9.950528417891428E-6    -1.1780796233920613E-5
-90                       -90                      0                        -60                      10                       100                      0                        -90                      0                        -2.343429263445051E-5    1.0359962167093619E-5    1.1146383711664737E-5
90                        90                       0                        -60                      10                       100                      0                        90                       0                        -7.591175941539075E-6    -9.833665249283217E-6    1.2979395509933492E-5
30                        90                       0                        -60                      10                       100                      0                        90                       0                        5.255151603115711E-7     -1.7308945418088547E-5   2.2193133770900738E-5
-30                       90                       0                        -60                      10                       100                      0                        90                       0                        2.971670589736508E-5     -1.4176672485160515E-5   1.7946908298292452E-5
-90                       90                       0                        -60                      10                       100                      0                        90                       0                        3.0238575962533727E-5    1.4589388544186481E-5    -1.9922583058373734E-5
90                        30                       0                        -60                      10                       100                      0                        90                       0                        -1.436918499439375E-5    -2.842961520334433E-6    1.9733352640285756E-5
30                        30                       0                        -60                      10                       100                      0                        90                       0                        -7.385546018827047E-6    -1.0240198312902568E-5   4.6191552471804015E-5
-30                       30                       0                        -60                      10                       100                      0                        90                       0                        4.8311875142341724E-5    -1.3280219727051774E-5   5.2774555232620114E-5
-90                       30                       0                        -60                      10                       100                      0                        90                       0                        3.478629422639279E-5     9.941909856518326E-6     -5.106992838638621E-5
90                        -30                      0                        -60                      10                       100                      0                        90                       0                        -1.2051623535792644E-5   6.750654449832158E-6     1.8048559251491024E-5
30                        -30                      0                        -60                      10                       100                      0                        90                       0                        -6.12677662906427E-6     1.463974555577374E-5     4.321300397997841E-5
-30                       -30                      0                        -60                      10                       100                      0                        90                       0                        4.613072672526656E-5     1.1994018911263093E-5    3.8160838312536875E-5
-90                       -30                      0                        -60                      10                       100                      0                        90                       0                        4.4713339707049265E-5    -1.9175934725716962E-5   -3.737253113847759E-5
90                        -90                      0                        -60                      10                       100                      0                        90                       0                        -5.368392574435968E-6    1.0518593468536728E-5    1.031813650151755E-5
30                        -90                      0                        -60                      10                       100                      0                        90                       0                        2.010838697305516E-6     1.59935523847073E-5      1.711288149779295E-5
-30                       -90                      0                        -60                      10                       100                      0                        90                       0                        2.5056616695708225E-5    9.9494938989659E-6       1.177822611477019E-5
-90                       -90                      0                        -60                      10                       100                      0                        90                       0                        2.342809322451321E-5     -1.0351764668573576E-5   -1.1140811421973937E-5
90                        90                       0                        -60                      10                       110                      0                        -90                      0                        6.107065245779443E-6     8.792471306935106E-6     -1.2352738215707957E-5
30                        90                       0                        -60                      10                       110                      0                        -90                      0                        -3.0674438352648722E-6   1.4724587978377172E-5    -2.0742181351611028E-5
-30                       90                       0                        -60                      10                       110                      0                        -90                      0                        -2.6004521219299753E-5   8.135602094813855E-6     -1.45519330655093E-5
-90                       90                       0                        -60                      10                       110                      0                        -90                      0                        -2.4265315508704685E-5   -9.746618029786972E-6    1.4024066366779571E-5
90                        30                       0                        -60                      10                       110                      0                        -90                      0                        1.0834925577449914E-5    3.057991679341273E-6     -1.8344008889080416E-5
30                        30                       0                        -60                      10                       110                      0                        -90                      0                        2.4086387352289146E-6    7.582282011425578E-6     -3.719907508019701E-5
-30                       30                       0                        -60                      10                       110                      0                        -90                      0                        -4.214345923557684E-5    6.721170445513178E-6     -3.602049961031514E-5
-90                       30                       0                        -60                      10                       110                      0                        -90                      0                        -4.150296868500761E-5    -8.099312128653912E-6    3.232586041123587E-5
90                        -30                      0                        -60                      10                       110                      0                        -90                      0                        9.482417536058876E-6     -5.615117948617102E-6    -1.7204703552791313E-5
30                        -30                      0                        -60                      10                       110                      0                        -90                      0                        1.2324905246918197E-6    -1.2302623465117402E-5   -3.4144823991050214E-5
-30                       -30                      0                        -60                      10                       110                      0                        -90                      0                        -3.711792441349208E-5    -9.663734796610484E-6    -2.934799007809791E-5
-90                       -30                      0                        -60                      10                       110                      0                        -90                      0                        -4.206952521036662E-5    1.1338874080979572E-5    3.550305109269343E-5
90                        -90                      0                        -60                      10                       110                      0                        -90                      0                        4.037385278145644E-6     -8.49347909444836E-6     -1.0123647304903629E-5
30                        -90                      0                        -60                      10                       110                      0                        -90                      0                        -3.3322397030518153E-6   -1.3374736437456479E-5   -1.5426804183721647E-5
-30                       -90                      0                        -60                      10                       110                      0                        -90                      0                        -2.0303046627559478E-5   -9.855654638357865E-6    -9.985191466901619E-6
-90                       -90                      0                        -60                      10                       110                      0                        -90                      0                        -2.0300259663720673E-5   8.495320363012952E-6     9.916256345141333E-6
90                        90                       0                        -60                      10                       110                      0                        90                       0                        -6.1282520785592995E-6   -8.804174586955894E-6    1.2342754402927594E-5
30                        90                       0                        -60                      10                       110                      0                        90                       0                        3.031366150057775E-6     -1.4747068775683078E-5   2.0739164952755318E-5
-30                       90                       0                        -60                      10                       110                      0                        90                       0                        2.5960031634488325E-5    -8.183006560992512E-6    1.4583576404614992E-5
-90                       90                       0                        -60                      10                       110                      0                        90                       0                        2.426420864596747E-5     9.698411054754322E-6     -1.3963388295596782E-5
90                        30                       0                        -60                      10                       110                      0                        90                       0                        -1.0862716557350475E-5   -3.06427717067077E-6     1.833310743833239E-5
30                        30                       0                        -60                      10                       110                      0                        90                       0                        -2.460514200253235E-6    -7.593757626166722E-6    3.720802386502599E-5
-30                       30                       0                        -60                      10                       110                      0                        90                       0                        4.207267634541753E-5     -6.719248855749133E-6    3.607046902893518E-5
-90                       30                       0                        -60                      10                       110                      0                        90                       0                        4.14993066665593E-5      8.094401111074E-6        -3.222462890443061E-5
90                        -30                      0                        -60                      10                       110                      0                        90                       0                        -9.503441234266716E-6    5.615840489820884E-6     1.719123708799988E-5
30                        -30                      0                        -60                      10                       110                      0                        90                       0                        -1.2701378251642789E-6   1.2315915746191394E-5    3.4137155469578524E-5
-30                       -30                      0                        -60                      10                       110                      0                        90                       0                        3.70790162473349E-5      9.703418967412872E-6     2.9381148974770852E-5
-90                       -30                      0                        -60                      10                       110                      0                        90                       0                        4.207216419370826E-5     -1.1292836171933058E-5   -3.546866881043659E-5
90                        -90                      0                        -60                      10                       110                      0                        90                       0                        -4.04929973798598E-6     8.495416068661575E-6     1.0111029736836556E-5
30                        -90                      0                        -60                      10                       110                      0                        90                       0                        3.3145015776549143E-6    1.3380318294415141E-5    1.5409138079298972E-5
-30                       -90                      0                        -60                      10                       110                      0                        90                       0                        2.0283796222463594E-5    9.875132388270319E-6     9.970249599484676E-6
-90                       -90                      0                        -60                      10                       110                      0                        90                       0                        2.029112341580516E-5     -8.473770930034429E-6    -9.927093324348227E-6
90                        90                       0                        -60                      20                       50                       0                        -90                      0                        2.018176040116715E-5     1.7624260882687566E-5    -1.3403311275040147E-5
30                        90                       0                        -60                      20                       50                       0                        -90                      0                        2.1858435715326564E-5    5.147268699959709E-5     -3.9300605184889106E-5
-30                       90                       0                        -60                      20                       50                       0                        -90                      0                        -6.541758535396886E-5    7.855562932286607E-5     -5.916805813510625E-5
-90                       90                       0                        -60                      20                       50                       0                        -90                      0                        -7.196109037049304E-5    -7.140186632441993E-5    5.5579016130229305E-5
90                        30                       0                        -60                      20                       50                       0                        -90                      0                        3.595597182814254E-5     3.129936353876112E-6     -2.0555758872562265E-5
30                        30                       0                        -60                      20                       50                       0                        -90                      0                        9.308421280279246E-5     2.1394132433334144E-5    -9.673339111953857E-5
-30                       30                       0                        -60                      20                       50                       0                        -90                      0                        -1.316918127572858E-4    7.599257898535937E-5     -4.3540124386983446E-4
-90                       30                       0                        -60                      20                       50                       0                        -90                      0                        -1.337605964166792E-4    -6.954742619887496E-5    4.290589771882527E-4
90                        -30                      0                        -60                      20                       50                       0                        -90                      0                        2.658132895231168E-5     -1.5380730999527117E-5   -1.7172549938838067E-5
30                        -30                      0                        -60                      20                       50                       0                        -90                      0                        3.63270938998373E-5      -5.3039879605235245E-5   -5.35829610951534E-5
-30                       -30                      0                        -60                      20                       50                       0                        -90                      0                        -1.0198680802060776E-4   -1.1646222806964283E-4   -1.1736368842304158E-4
-90                       -30                      0                        -60                      20                       50                       0                        -90                      0                        -8.985661229302101E-5    1.0742439173853908E-4    1.3276838191439064E-4
90                        -90                      0                        -60                      20                       50                       0                        -90                      0                        9.386801577941617E-6     -1.5839083405421684E-5   -7.988351052666041E-6
30                        -90                      0                        -60                      20                       50                       0                        -90                      0                        9.526380625145507E-7     -3.024659841168241E-5    -1.5114429125662987E-5
-30                       -90                      0                        -60                      20                       50                       0                        -90                      0                        -3.700419662915771E-5    -2.7648521047957327E-5   -1.558010149747916E-5
-90                       -90                      0                        -60                      20                       50                       0                        -90                      0                        -3.271050292716677E-5    2.6857462909450603E-5    1.330834443253771E-5
90                        90                       0                        -60                      20                       50                       0                        90                       0                        -2.0183216692211124E-5   -1.760926311625376E-5    1.3406904991329163E-5
30                        90                       0                        -60                      20                       50                       0                        90                       0                        -2.1883427201498345E-5   -5.144712502149054E-5    3.9319391688907255E-5
-30                       90                       0                        -60                      20                       50                       0                        90                       0                        6.538602594774752E-5     -7.858075718684054E-5    5.9299572492957814E-5
-90                       90                       0                        -60                      20                       50                       0                        90                       0                        7.201851950435764E-5     7.156242888620233E-5     -5.549645170668517E-5
90                        30                       0                        -60                      20                       50                       0                        90                       0                        -3.5938703250935195E-5   -3.1145662600589008E-6   2.0550727539588373E-5
30                        30                       0                        -60                      20                       50                       0                        90                       0                        -9.304795664802132E-5    -2.13335927897421E-5     9.66976496628905E-5
-30                       30                       0                        -60                      20                       50                       0                        90                       0                        1.3197781600814362E-4    -7.563199134828525E-5    4.357077295732585E-4
-90                       30                       0                        -60                      20                       50                       0                        90                       0                        1.027976251346668E-4     4.7061860554872515E-5    -3.7285058730311313E-4
90                        -30                      0                        -60                      20                       50                       0                        90                       0                        -2.6559403657855406E-5   1.538020173498901E-5     1.7164980308793485E-5
30                        -30                      0                        -60                      20                       50                       0                        90                       0                        -3.6289878780326764E-5   5.302016904117013E-5     5.354868767175693E-5
-30                       -30                      0                        -60                      20                       50                       0                        90                       0                        1.0203118777495074E-4    1.1636558006011203E-4    1.1729385680352632E-4
-90                       -30                      0                        -60                      20                       50                       0                        90                       0                        5.364060147777284E-5     -9.564590018468157E-5    -1.1213915285838146E-4
90                        -90                      0                        -60                      20                       50                       0                        90                       0                        -9.375068775053412E-6    1.5832407058033595E-5    7.985725950543506E-6
30                        -90                      0                        -60                      20                       50                       0                        90                       0                        -9.409307504735648E-7    3.022786587732697E-5     1.5107818605790117E-5
-30                       -90                      0                        -60                      20                       50                       0                        90                       0                        3.70058311955693E-5      2.761369060361183E-5     1.5579812656300862E-5
-90                       -90                      0                        -60                      20                       50                       0                        90                       0                        3.271009334119917E-5     -2.68422891673366E-5     -1.3308959374473136E-5
90                        90                       0                        -60                      20                       60                       0                        -90                      0                        1.6192630669878304E-5    1.4414869648951265E-5    -1.4304029715890627E-5
30                        90                       0                        -60                      20                       60                       0                        -90                      0                        1.971394322497391E-5     4.639353013316391E-5     -4.243947749312953E-5
-30                       90                       0                        -60                      20                       60                       0                        -90                      0                        -5.668770528195454E-5    5.511038413293269E-5     -4.5552376513614395E-5
-90                       90                       0                        -60                      20                       60                       0                        -90                      0                        -6.170558308542014E-5    -5.0346879599975534E-5   4.769007418596504E-5
90                        30                       0                        -60                      20                       60                       0                        -90                      0                        3.06909222213574E-5      5.0327147959450445E-6    -2.0131918558888282E-5
30                        30                       0                        -60                      20                       60                       0                        -90                      0                        5.844684057187159E-5     1.548658516938061E-5     -8.633710013583243E-5
-30                       30                       0                        -60                      20                       60                       0                        -90                      0                        -9.172875213815375E-5    4.6342897114555383E-5    -2.2209419642573152E-4
-90                       30                       0                        -60                      20                       60                       0                        -90                      0                        -1.0524330483979976E-4   -2.0946615738105128E-5   2.848331119252321E-4
90                        -30                      0                        -60                      20                       60                       0                        -90                      0                        2.2766293111185428E-5    -1.37467314122349E-5     -1.7623839462920344E-5
30                        -30                      0                        -60                      20                       60                       0                        -90                      0                        3.306763385028534E-5     -4.494856073923809E-5    -5.9684347569753164E-5
-30                       -30                      0                        -60                      20                       60                       0                        -90                      0                        -8.200485230215777E-5    -6.827507481149513E-5    -1.119401772513046E-4
-90                       -30                      0                        -60                      20                       60                       0                        -90                      0                        -8.257934847929837E-5    8.270760012217342E-5     8.646499183449942E-5
90                        -90                      0                        -60                      20                       60                       0                        -90                      0                        8.374196279793207E-6     -1.4415828338844565E-5   -8.634412595847027E-6
30                        -90                      0                        -60                      20                       60                       0                        -90                      0                        5.343913178678446E-7     -2.753856014714593E-5    -1.7123413109158364E-5
-30                       -90                      0                        -60                      20                       60                       0                        -90                      0                        -3.297344737802399E-5    -2.3774004805752645E-5   -1.3961817347595405E-5
-90                       -90                      0                        -60                      20                       60                       0                        -90                      0                        -3.043546499488853E-5    2.6296131649228184E-5    1.3939275017392584E-5
90                        90                       0                        -60                      20                       60                       0                        90                       0                        -1.6145370072922328E-5   -1.436990679477222E-5    1.429847092030592E-5
30                        90                       0                        -60                      20                       60                       0                        90                       0                        -1.971962631916864E-5    -4.639632533431631E-5    4.2546864989816274E-5
-30                       90                       0                        -60                      20                       60                       0                        90                       0                        5.673156497201914E-5     -5.511037867746592E-5    4.563880363532366E-5
-90                       90                       0                        -60                      20                       60                       0                        90                       0                        5.3061169344834026E-5    4.911694120297307E-5     -4.5362409524185685E-5
90                        30                       0                        -60                      20                       60                       0                        90                       0                        -3.0596769113736386E-5   -5.002985931261461E-6    2.0109920694929496E-5
30                        30                       0                        -60                      20                       60                       0                        90                       0                        -5.811779551493971E-5    -1.54184864297516E-5     8.60331706120497E-5
-30                       30                       0                        -60                      20                       60                       0                        90                       0                        8.64963084928352E-5      -2.9270159363119566E-5   2.344598844480441E-4
-90                       30                       0                        -60                      20                       60                       0                        90                       0                        1.1518779966060311E-4    4.506323924140433E-5     -2.8462217619547997E-4
90                        -30                      0                        -60                      20                       60                       0                        90                       0                        -2.2671970776746072E-5   1.3721355901854753E-5    1.759709159492138E-5
30                        -30                      0                        -60                      20                       60                       0                        90                       0                        -3.286754292080641E-5    4.484417221001465E-5     5.9547926990266575E-5
-30                       -30                      0                        -60                      20                       60                       0                        90                       0                        8.205841631486201E-5     6.788036748554046E-5     1.1147546009819347E-4
-90                       -30                      0                        -60                      20                       60                       0                        90                       0                        8.218998177527381E-5     -8.288564207241945E-5    -8.6572225631461E-5
90                        -90                      0                        -60                      20                       60                       0                        90                       0                        -8.325897350764136E-6    1.4373800577002231E-5    8.623113932489157E-6
30                        -90                      0                        -60                      20                       60                       0                        90                       0                        -4.7495784715453416E-7   2.743099731096683E-5     1.7081352693712514E-5
-30                       -90                      0                        -60                      20                       60                       0                        90                       0                        3.295189384017176E-5     2.3577552980450663E-5    1.3895399663691202E-5
-90                       -90                      0                        -60                      20                       60                       0                        90                       0                        3.032381219832852E-5     -2.637835571635528E-5    -1.3930223609211595E-5
90                        90                       0                        -60                      20                       70                       0                        -90                      0                        1.4980325811168147E-5    1.4063353023223234E-5    -1.4683482329632467E-5
30                        90                       0                        -60                      20                       70                       0                        -90                      0                        1.0641821746164433E-5    3.357334405754866E-5     -3.676787950804343E-5
-30                       90                       0                        -60                      20                       70                       0                        -90                      0                        -5.1388693687899416E-5   3.8205609274513793E-5    -4.03130508801372E-5
-90                       90                       0                        -60                      20                       70                       0                        -90                      0                        -5.245807198439336E-5    -3.547427885668525E-5    4.000795948180261E-5
90                        30                       0                        -60                      20                       70                       0                        -90                      0                        2.5775671120967667E-5    2.733943271849216E-6     -2.208598169560024E-5
30                        30                       0                        -60                      20                       70                       0                        -90                      0                        3.727890238354529E-5     1.3382762952306569E-5    -7.90982462375508E-5
-30                       30                       0                        -60                      20                       70                       0                        -90                      0                        -1.074229355683122E-4    1.6849662641030196E-5    -1.6304958071866648E-4
-90                       30                       0                        -60                      20                       70                       0                        -90                      0                        -8.748089492041327E-5    -2.3293122495050577E-5   1.73636671930192E-4
90                        -30                      0                        -60                      20                       70                       0                        -90                      0                        1.9325758918330437E-5    -1.208362717485856E-5    -1.7426531931604076E-5
30                        -30                      0                        -60                      20                       70                       0                        -90                      0                        2.2147846574794482E-5    -3.646827544192372E-5    -5.242416710356292E-5
-30                       -30                      0                        -60                      20                       70                       0                        -90                      0                        -6.408402329595615E-5    -5.1182833635585223E-5   -7.731039412914114E-5
-90                       -30                      0                        -60                      20                       70                       0                        -90                      0                        -5.5563687342671315E-5   5.351748548480798E-5     7.166320150980555E-5
90                        -90                      0                        -60                      20                       70                       0                        -90                      0                        7.295868770318249E-6     -1.3265947803911957E-5   -8.95394004796824E-6
30                        -90                      0                        -60                      20                       70                       0                        -90                      0                        -1.0903127319605143E-6   -2.3862204995040836E-5   -1.5786531980867263E-5
